city,year,weekofyear,total_cases
sj,1990,18,8
sj,1990,19,14
sj,1990,20,12
sj,1990,21,12
sj,1990,22,81
sj,1990,23,21
sj,1990,24,16
sj,1990,25,18
sj,1990,26,26
sj,1990,27,37
sj,1990,28,15
sj,1990,29,12
sj,1990,30,19
sj,1990,31,26
sj,1990,32,28
sj,1990,33,41
sj,1990,34,24
sj,1990,35,32
sj,1990,36,31
sj,1990,37,33
sj,1990,38,48
sj,1990,39,27
sj,1990,40,47
sj,1990,41,39
sj,1990,42,41
sj,1990,43,36
sj,1990,44,50
sj,1990,45,56
sj,1990,46,44
sj,1990,47,43
sj,1990,48,63
sj,1990,49,51
sj,1990,50,36
sj,1990,51,27
sj,1990,52,27
sj,1991,1,21
sj,1991,2,21
sj,1991,3,25
sj,1991,4,30
sj,1991,5,31
sj,1991,6,19
sj,1991,7,17
sj,1991,8,23
sj,1991,9,22
sj,1991,10,22
sj,1991,11,15
sj,1991,12,20
sj,1991,13,16
sj,1991,14,19
sj,1991,15,18
sj,1991,16,22
sj,1991,17,20
sj,1991,18,20
sj,1991,19,20
sj,1991,20,18
sj,1991,21,31
sj,1991,22,21
sj,1991,23,16
sj,1991,24,32
sj,1991,25,18
sj,1991,26,22
sj,1991,27,31
sj,1991,28,22
sj,1991,29,21
sj,1991,30,24
sj,1991,31,31
sj,1991,32,50
sj,1991,33,47
sj,1991,34,60
sj,1991,35,53
sj,1991,36,54
sj,1991,37,57
sj,1991,38,67
sj,1991,39,70
sj,1991,40,98
sj,1991,41,78
sj,1991,42,108
sj,1991,43,92
sj,1991,44,102
sj,1991,45,96
sj,1991,46,95
sj,1991,47,91
sj,1991,48,120
sj,1991,49,105
sj,1991,50,81
sj,1991,51,56
sj,1991,52,50
sj,1992,1,56
sj,1992,2,75
sj,1992,3,79
sj,1992,4,62
sj,1992,5,42
sj,1992,6,39
sj,1992,7,66
sj,1992,8,30
sj,1992,9,32
sj,1992,10,48
sj,1992,11,34
sj,1992,12,30
sj,1992,13,26
sj,1992,14,26
sj,1992,15,28
sj,1992,16,34
sj,1992,17,22
sj,1992,18,24
sj,1992,19,26
sj,1992,20,25
sj,1992,21,28
sj,1992,22,40
sj,1992,23,26
sj,1992,24,24
sj,1992,25,29
sj,1992,26,34
sj,1992,27,36
sj,1992,28,40
sj,1992,29,28
sj,1992,30,32
sj,1992,31,40
sj,1992,32,29
sj,1992,33,41
sj,1992,34,59
sj,1992,35,47
sj,1992,36,54
sj,1992,37,66
sj,1992,38,54
