city,year,weekofyear,total_cases
sj,2008,18,24
sj,2008,19,8
sj,2008,20,15
sj,2008,21,4
sj,2008,22,14
sj,2008,23,45
sj,2008,24,15
sj,2008,25,22
sj,2008,26,23
sj,2008,27,19
sj,2008,28,16
sj,2008,29,18
sj,2008,30,10
sj,2008,31,24
sj,2008,32,28
sj,2008,33,70
sj,2008,34,12
sj,2008,35,32
sj,2008,36,104
sj,2008,37,47
sj,2008,38,64
sj,2008,39,66
sj,2008,40,12
sj,2008,41,48
sj,2008,42,22
sj,2008,43,17
sj,2008,44,53
sj,2008,45,37
sj,2008,46,42
sj,2008,47,22
sj,2008,48,16
sj,2008,49,32
sj,2008,50,20
sj,2008,51,13
sj,2008,52,18
sj,2009,1,32
sj,2009,2,18
sj,2009,3,8
sj,2009,4,22
sj,2009,5,26
sj,2009,6,14
sj,2009,7,13
sj,2009,8,6
sj,2009,9,61
sj,2009,10,38
sj,2009,11,10
sj,2009,12,10
sj,2009,13,24
sj,2009,14,23
sj,2009,15,17
sj,2009,16,10
sj,2009,17,12
sj,2009,18,4
sj,2009,19,16
sj,2009,20,11
sj,2009,21,11
sj,2009,22,37
sj,2009,23,18
sj,2009,24,3
sj,2009,25,24
sj,2009,26,43
sj,2009,27,66
sj,2009,28,50
sj,2009,29,36
sj,2009,30,13
sj,2009,31,76
sj,2009,32,27
sj,2009,33,22
sj,2009,34,22
sj,2009,35,20
sj,2009,36,60
sj,2009,37,18
sj,2009,38,16
sj,2009,39,19
sj,2009,40,36
sj,2009,41,70
sj,2009,42,24
sj,2009,43,10
sj,2009,44,36
sj,2009,45,58
sj,2009,46,16
sj,2009,47,9
sj,2009,48,73
sj,2009,49,26
sj,2009,50,23
sj,2009,51,6
sj,2009,52,18
sj,2010,53,32
sj,2010,1,4
sj,2010,2,82
sj,2010,3,54
sj,2010,4,35
sj,2010,5,20
sj,2010,6,12
sj,2010,7,8
sj,2010,8,89
sj,2010,9,9
sj,2010,10,6
sj,2010,11,12
sj,2010,12,6
sj,2010,13,48
sj,2010,14,13
sj,2010,15,14
sj,2010,16,206
sj,2010,17,106
sj,2010,18,188
sj,2010,19,4
sj,2010,20,39
sj,2010,21,36
sj,2010,22,30
sj,2010,23,60
sj,2010,24,10
sj,2010,25,50
sj,2010,26,36
sj,2010,27,186
sj,2010,28,14
sj,2010,29,16
sj,2010,30,38
sj,2010,31,50
sj,2010,32,12
sj,2010,33,23
sj,2010,34,55
sj,2010,35,34
sj,2010,36,61
sj,2010,37,172
sj,2010,38,62
sj,2010,39,9
sj,2010,40,78
sj,2010,41,8
sj,2010,42,68
sj,2010,43,20
sj,2010,44,25
sj,2010,45,18
sj,2010,46,20
sj,2010,47,7
sj,2010,48,20
sj,2010,49,17
