city,year,weekofyear,total_cases
sj,2008,18,17
sj,2008,19,17
sj,2008,20,35
sj,2008,21,9
sj,2008,22,14
sj,2008,23,37
sj,2008,24,17
sj,2008,25,16
sj,2008,26,24
sj,2008,27,28
sj,2008,28,44
sj,2008,29,42
sj,2008,30,29
sj,2008,31,27
sj,2008,32,44
sj,2008,33,53
sj,2008,34,35
sj,2008,35,52
sj,2008,36,89
sj,2008,37,51
sj,2008,38,46
sj,2008,39,75
sj,2008,40,134
sj,2008,41,22
sj,2008,42,30
sj,2008,43,58
sj,2008,44,19
sj,2008,45,25
sj,2008,46,32
sj,2008,47,35
sj,2008,48,30
sj,2008,49,40
sj,2008,50,21
sj,2008,51,59
sj,2008,52,19
sj,2009,1,22
sj,2009,2,20
sj,2009,3,18
sj,2009,4,19
sj,2009,5,20
sj,2009,6,14
sj,2009,7,18
sj,2009,8,17
sj,2009,9,29
sj,2009,10,11
sj,2009,11,21
sj,2009,12,18
sj,2009,13,17
sj,2009,14,26
sj,2009,15,20
sj,2009,16,10
sj,2009,17,17
sj,2009,18,22
sj,2009,19,23
sj,2009,20,23
sj,2009,21,27
sj,2009,22,27
sj,2009,23,15
sj,2009,24,26
sj,2009,25,12
sj,2009,26,55
sj,2009,27,28
sj,2009,28,35
sj,2009,29,33
sj,2009,30,40
sj,2009,31,42
sj,2009,32,39
sj,2009,33,64
sj,2009,34,40
sj,2009,35,43
sj,2009,36,56
sj,2009,37,39
sj,2009,38,26
sj,2009,39,41
sj,2009,40,51
sj,2009,41,48
sj,2009,42,44
sj,2009,43,35
sj,2009,44,35
sj,2009,45,22
sj,2009,46,36
sj,2009,47,20
sj,2009,48,51
sj,2009,49,112
sj,2009,50,24
sj,2009,51,30
sj,2009,52,16
sj,2010,53,20
sj,2010,1,33
sj,2010,2,20
sj,2010,3,23
sj,2010,4,35
sj,2010,5,23
sj,2010,6,15
sj,2010,7,25
sj,2010,8,21
sj,2010,9,24
sj,2010,10,10
sj,2010,11,23
sj,2010,12,27
sj,2010,13,46
sj,2010,14,14
sj,2010,15,17
sj,2010,16,39
sj,2010,17,50
sj,2010,18,30
sj,2010,19,17
sj,2010,20,30
sj,2010,21,26
sj,2010,22,169
sj,2010,23,75
sj,2010,24,53
sj,2010,25,63
sj,2010,26,64
sj,2010,27,82
sj,2010,28,64
sj,2010,29,85
